,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,32,18,14,.563,4.18,4.28,8,8,13,2,3,11,2241,2170,,64.8,104.2,.365,.413,.543,54.2,59.9,8.6,10.2,.515,17.1,33.4,.246
2,Akron NCAA,33,26,7,.788,8.11,0.18,14,2,15,1,7,4,2369,2071,,66.4,93.1,.344,.297,.486,48.1,49.5,10.3,8.1,.443,17.4,33.2,.245
3,Alabama A&M,31,11,20,.355,-18.40,-9.82,6,12,7,6,3,12,1957,2160,,67.4,102.1,.373,.266,.523,53.1,49.8,10.8,8.7,.493,15.7,35.4,.246
4,Alabama-Birmingham,33,16,17,.485,0.26,1.51,7,9,11,4,4,10,2357,2351,,71.3,99.5,.389,.327,.537,51.7,54.7,11.7,9.6,.500,19.4,34.5,.273
5,Alabama State,32,10,22,.313,-17.88,-9.01,8,10,7,5,3,14,1979,2231,,67.0,103.2,.379,.342,.523,53.3,54.9,11.7,8.3,.491,16.7,38.5,.252
6,Alabama,36,23,13,.639,9.79,5.93,12,6,16,4,4,8,2268,2102,,62.3,92.8,.325,.322,.491,53.4,48.1,8.9,10.4,.454,19.6,37.0,.226
7,Albany (NY) NCAA,35,24,11,.686,-0.87,-4.53,9,7,11,4,11,5,2251,2123,,62.8,96.3,.278,.346,.507,51.1,46.6,9.6,10.1,.483,17.3,32.4,.182
8,Alcorn State,34,10,24,.294,-14.26,-7.11,8,10,5,8,4,14,2055,2248,,69.0,95.4,.468,.325,.490,54.7,49.6,9.8,9.0,.445,16.3,38.1,.309
9,American,30,10,20,.333,-8.56,-2.53,5,9,7,6,3,14,1735,1916,,59.4,106.1,.279,.352,.537,51.4,59.9,10.8,11.1,.513,13.6,29.7,.189
10,Appalachian State,31,15,16,.484,-7.91,-5.77,10,8,10,4,4,11,2211,2221,,68.3,102.5,.341,.294,.537,52.4,50.1,10.6,8.6,.505,17.0,33.7,.236
