Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,20,11,9,.550,-3.43,-3.18,6,3,8,2,3,7,1508,1292,,71.4,103.6,.373,.370,.540,50.3,57.6,12.9,7.8,.497,17.3,31.4,.278
2,Air Force,22,9,13,.409,0.68,1.44,3,7,6,5,3,5,1653,1612,,69.0,109.0,.388,.420,.584,50.5,57.3,7.3,5.7,.543,16.0,22.7,.295
3,Akron,21,16,5,.762,8.36,-0.70,6,2,10,2,5,2,1623,1384,,71.1,108.6,.325,.438,.573,50.8,54.2,7.0,7.3,.536,16.6,28.3,.251
4,Alabama A&M,18,5,13,.278,-17.15,-6.43,2,5,4,1,1,11,1144,1337,,70.2,89.9,.257,.336,.463,46.4,46.6,9.1,5.9,.431,14.6,24.9,.177
5,Alabama-Birmingham,22,13,9,.591,-1.45,-1.25,4,5,8,4,3,5,1436,1395,,66.3,98.4,.317,.303,.521,55.3,42.2,8.5,8.6,.489,19.2,34.1,.222
6,Alabama State,20,3,17,.150,-17.31,-2.61,2,5,1,1,0,13,1207,1501,,69.4,86.9,.331,.375,.478,45.1,46.2,8.6,4.8,.448,18.9,23.1,.210
7,Alabama,20,12,8,.600,12.48,7.28,4,3,8,1,2,5,1649,1545,,77.7,104.8,.375,.469,.557,50.8,50.5,7.9,10.9,.522,17.3,28.7,.267
8,Albany (NY),22,12,10,.545,-6.98,-6.41,5,2,6,3,4,7,1505,1491,,70.6,96.4,.362,.421,.530,50.8,56.5,7.9,7.6,.490,18.0,24.5,.263
9,Alcorn State,19,10,9,.526,-11.34,-6.07,6,2,7,1,3,8,1469,1363,,72.9,105.4,.276,.406,.541,53.0,53.2,12.1,8.6,.509,16.8,32.6,.206
10,American,20,10,10,.500,-6.01,-5.71,6,3,6,3,4,7,1437,1443,,69.5,102.8,.290,.353,.542,48.1,49.4,10.4,8.5,.514,15.9,26.1,.205
11,Appalachian State,22,12,10,.545,-0.54,-0.14,6,5,6,3,5,6,1512,1461,,69.0,99.0,.402,.381,.520,50.3,47.5,10.7,7.1,.486,17.0,28.6,.265
12,Arizona State,20,12,8,.600,10.57,6.82,3,4,8,2,3,3,1447,1372,,74.0,97.8,.307,.353,.506,48.6,42.2,10.8,9.7,.477,15.4,26.3,.205
13,Arizona,20,14,6,.700,21.86,7.46,4,3,10,1,1,4,1609,1321,,71.5,111.9,.361,.339,.573,52.7,58.1,9.2,10.8,.538,14.5,30.1,.266
14,Little Rock,23,16,7,.696,2.67,-1.29,10,2,9,2,7,5,1635,1530,,70.3,101.1,.419,.324,.556,53.2,58.0,10.2,10.5,.520,20.5,31.3,.293
15,Arkansas-Pine Bluff,19,3,16,.158,-20.83,-1.45,2,5,1,2,2,14,1011,1352,,68.1,78.2,.352,.276,.468,47.0,49.2,11.4,9.7,.439,24.5,25.6,.214
16,Arkansas State,23,15,8,.652,-1.92,-1.16,7,5,10,4,5,4,1621,1610,,67.6,103.1,.487,.315,.544,49.6,62.4,10.1,8.7,.498,16.6,28.4,.343
17,Arkansas,20,15,5,.750,15.58,5.28,3,4,11,2,3,3,1485,1279,,71.8,102.1,.361,.405,.545,46.4,48.6,11.6,11.3,.506,15.0,20.9,.263
18,Army,20,10,10,.500,-9.52,-6.42,5,4,5,4,5,6,1413,1435,,70.3,99.9,.247,.390,.552,48.9,61.3,7.8,4.8,.544,16.7,19.6,.147
19,Auburn,20,18,2,.900,15.33,4.63,5,2,11,0,3,2,1585,1371,,71.5,108.9,.426,.430,.543,53.4,50.4,8.8,13.6,.510,15.5,34.7,.284
20,Austin Peay,22,15,7,.682,0.41,-3.79,9,0,10,0,4,6,1733,1587,,70.3,112.0,.374,.348,.570,51.6,50.6,9.8,8.7,.532,15.6,33.4,.277
21,Ball State,20,11,9,.550,4.80,-1.62,4,3,6,3,3,4,1413,1247,,69.9,101.1,.292,.467,.532,51.4,55.8,10.3,9.4,.511,16.4,27.2,.190
22,Baylor,19,18,1,.947,20.24,6.18,7,0,9,0,5,0,1375,1108,,67.1,107.8,.296,.368,.525,54.4,52.7,11.8,12.9,.493,14.6,37.7,.212
23,Belmont,22,15,7,.682,4.01,-6.52,6,3,8,1,7,5,1796,1526,,74.2,110.0,.213,.445,.573,51.8,61.8,8.8,8.1,.556,14.9,25.8,.150
24,Bethune-Cookman,21,10,11,.476,-10.07,-6.24,4,3,5,1,3,10,1591,1556,,75.8,99.9,.371,.304,.525,50.3,47.6,9.5,6.8,.486,17.6,30.3,.263
25,Binghamton,21,8,13,.381,-15.46,-4.30,2,6,6,4,2,9,1466,1604,,69.3,100.1,.215,.475,.521,48.2,46.7,6.6,8.1,.497,16.7,27.7,.154
26,Boise State,22,14,8,.636,8.39,3.10,6,4,10,1,2,6,1745,1557,,70.9,108.9,.385,.415,.577,51.4,49.1,8.0,4.1,.539,15.2,24.6,.288
27,Boston College,21,10,11,.476,1.53,5.39,4,6,7,6,2,5,1354,1435,,70.2,91.9,.314,.395,.489,46.0,53.5,12.3,7.9,.461,17.2,24.7,.203
28,Boston University,22,12,10,.545,-2.11,-4.40,6,3,7,2,5,6,1587,1511,,67.9,105.0,.272,.351,.536,51.5,46.1,8.3,5.2,.517,14.7,28.4,.178
29,Bowling Green State,21,16,5,.762,1.35,-0.80,7,1,10,1,3,1,1581,1497,,71.4,104.2,.281,.373,.518,51.7,47.3,7.9,6.8,.483,12.6,28.8,.208
30,Bradley,22,15,7,.682,6.87,0.10,6,3,12,1,2,5,1596,1421,,68.2,106.3,.323,.315,.535,54.5,55.5,7.3,12.8,.499,15.3,33.6,.235
31,Brigham Young,23,16,7,.696,16.53,6.76,5,3,10,1,2,5,1836,1586,,69.7,112.7,.226,.420,.606,49.5,57.2,7.9,4.5,.591,14.7,20.2,.160
32,Brown,15,7,8,.467,-4.04,0.67,0,2,6,2,1,6,1027,1067,,71.8,95.4,.312,.400,.506,53.1,55.0,9.1,12.3,.473,20.0,34.8,.215
33,Bryant,21,10,11,.476,-4.18,-4.83,2,6,6,4,4,7,1503,1441,,70.9,100.3,.270,.474,.522,49.7,55.7,10.8,11.4,.498,17.3,29.3,.180
34,Bucknell,22,9,13,.409,-7.37,-2.91,5,4,6,2,2,9,1523,1621,,71.0,97.6,.300,.410,.527,48.3,48.8,10.1,9.9,.493,17.4,25.2,.217
35,Buffalo,21,14,7,.667,1.92,-0.03,5,3,7,4,4,2,1669,1593,,75.5,105.2,.276,.385,.527,52.7,54.5,11.0,10.3,.506,15.9,35.5,.182
36,Butler,21,17,4,.810,16.45,6.74,5,3,10,1,4,3,1456,1252,,65.2,105.7,.309,.364,.560,54.1,52.8,7.5,8.3,.530,15.7,28.3,.224
37,Cal Poly,20,5,15,.250,-10.53,1.69,2,4,5,3,0,10,1304,1477,,69.4,93.3,.349,.340,.511,46.6,42.9,9.0,7.2,.477,18.2,22.7,.238
38,Cal State Bakersfield,22,10,12,.455,-4.85,-1.27,4,3,7,5,3,7,1566,1514,,66.7,103.8,.317,.268,.518,56.2,46.2,9.8,10.6,.487,16.7,37.8,.218
39,Cal State Fullerton,22,8,14,.364,-6.69,-0.94,3,4,3,6,4,7,1474,1518,,69.7,95.5,.352,.347,.518,47.8,48.3,8.2,8.3,.486,16.7,22.0,.238
40,Cal State Northridge,23,9,14,.391,-8.01,-0.67,4,3,6,3,3,10,1726,1811,,71.9,104.4,.306,.357,.546,46.9,52.3,8.5,8.3,.516,14.9,25.3,.219
41,California Baptist,21,15,6,.714,-0.53,-6.70,5,2,11,4,4,2,1669,1451,,71.7,110.2,.348,.428,.568,53.9,55.0,5.8,8.1,.528,16.1,31.1,.269
42,UC-Davis,22,8,14,.364,-5.95,-1.55,2,4,4,3,3,9,1575,1557,,68.6,103.1,.297,.376,.558,47.8,50.9,8.6,5.4,.523,16.9,23.4,.228
43,UC-Irvine,22,13,9,.591,3.11,-0.64,5,1,7,1,4,7,1621,1443,,70.4,104.6,.304,.302,.543,56.6,53.2,9.4,10.6,.510,17.3,34.7,.224
44,UC-Riverside,23,14,9,.609,-3.39,-4.39,4,3,10,2,4,7,1539,1415,,65.8,101.7,.276,.437,.543,55.3,54.3,7.5,6.4,.520,17.8,28.6,.189
45,UC-Santa Barbara,21,13,8,.619,-2.06,-4.75,2,4,8,3,5,5,1501,1410,,64.9,109.6,.366,.354,.567,54.6,52.5,7.1,7.4,.528,16.3,32.7,.275
46,University of California,20,9,11,.450,2.09,7.19,3,4,9,3,0,5,1262,1364,,65.9,94.5,.341,.280,.512,49.5,42.1,6.2,7.3,.471,17.6,25.4,.247
47,Campbell,21,11,10,.524,-9.04,-7.83,2,7,5,4,5,5,1460,1406,,68.2,101.4,.256,.415,.552,46.7,58.7,12.0,7.7,.523,17.3,23.6,.191
48,Canisius,20,8,12,.400,-5.43,-4.33,3,6,5,2,2,9,1394,1416,,71.6,97.3,.336,.344,.530,48.1,56.4,11.1,7.2,.498,19.5,28.9,.233
49,Central Arkansas,21,6,15,.286,-11.34,0.36,5,5,6,3,0,11,1576,1790,,76.6,95.1,.427,.405,.526,49.3,58.3,6.8,14.1,.482,20.4,27.5,.303
50,Central Connecticut State,23,2,21,.087,-22.85,-3.71,1,9,2,7,0,12,1424,1811,,71.0,87.2,.306,.321,.476,43.6,46.0,9.4,8.8,.446,18.4,23.1,.200
