Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Kansas,Big 12,,3,17,3,76.0,60.4,15.55,,11.12,,11.65,14.25,25.90,118.41,80.55,37.87
2,Duke,ACC,,9,17,3,82.7,64.1,18.65,,7.15,,15.39,10.40,25.80,118.72,81.44,37.28
3,Gonzaga,WCC,,2,22,1,88.9,66.7,22.22,,1.19,,19.24,4.17,23.41,121.34,88.96,32.39
4,Michigan State,Big Ten,,14,16,5,77.2,62.6,14.62,,8.24,,12.75,10.11,22.86,115.88,83.30,32.59
5,Arizona,Pac-12,,,14,6,80.5,66.1,14.40,,7.46,,12.81,9.06,21.86,116.15,84.90,31.25
6,West Virginia,Big 12,,12,16,4,73.7,61.6,12.10,,9.09,,9.45,11.74,21.19,111.54,79.95,31.59
7,Baylor,Big 12,,1,18,1,72.4,58.3,14.05,,6.18,,5.11,15.13,20.24,110.78,80.73,30.06
8,Dayton,A-10,,7,19,2,82.7,66.1,16.62,,3.49,,13.60,6.51,20.11,118.89,88.76,30.14
9,San Diego State,MWC,,4,22,0,75.0,57.2,17.82,,2.45,,4.13,14.88,19.02,111.74,82.68,29.06
10,Ohio State,Big Ten,,,13,7,73.1,61.5,11.60,,7.35,,6.71,12.24,18.95,112.87,84.33,28.54
11,Maryland,Big Ten,,15,17,4,72.3,62.2,10.05,,8.77,,7.06,11.76,18.82,111.91,84.22,27.69
12,Louisville,ACC,,6,18,3,75.3,62.6,12.71,,5.69,,8.06,10.35,18.41,115.58,86.97,28.61
13,Seton Hall,Big East,,10,16,4,74.9,64.8,10.15,,8.23,,8.36,10.02,18.38,110.83,84.10,26.73
14,Oregon,Pac-12,,11,18,4,77.6,67.6,9.95,,8.19,,11.46,6.68,18.14,118.05,91.41,26.64
15,Colorado,Pac-12,,20,16,5,71.9,62.2,9.71,,7.41,,6.33,10.79,17.12,109.13,84.04,25.09
16,Iowa,Big Ten,,18,15,6,79.2,70.4,8.76,,8.30,,13.59,3.47,17.06,117.85,92.24,25.61
17,Villanova,Big East,,8,17,3,74.6,65.8,8.75,,7.96,,7.94,8.77,16.71,113.63,89.19,24.45
18,Penn State,Big Ten,,24,15,5,77.0,66.8,10.15,,6.51,,10.23,6.43,16.66,109.85,86.16,23.70
19,Brigham Young,WCC,,,16,7,79.8,69.0,10.87,,6.76,,12.14,4.39,16.53,116.43,91.22,25.20
20,Butler,Big East,,16,17,4,69.3,59.6,9.71,,6.74,,3.05,13.40,16.45,110.94,85.18,25.76
21,Illinois,Big Ten,,19,16,5,74.6,63.9,10.76,,7.54,,6.79,9.46,16.24,111.29,86.80,24.49
22,Michigan,Big Ten,,,12,8,76.7,69.6,7.15,,9.06,,8.64,7.58,16.21,111.65,87.88,23.77
23,Rutgers,Big Ten,,25,16,5,71.6,60.8,10.81,,7.11,,3.97,12.24,16.21,107.48,82.87,24.61
24,Florida State,ACC,,5,17,3,75.0,64.5,10.55,,5.27,,9.37,6.44,15.82,110.40,86.96,23.44
25,Texas Tech,Big 12,,,13,7,73.6,63.5,10.10,,5.68,,5.00,10.77,15.78,107.52,84.22,23.30
26,Arkansas,SEC,,,15,5,74.3,64.0,10.30,,5.28,,6.41,9.16,15.58,105.28,82.44,22.84
27,Purdue,Big Ten,,,11,10,67.5,60.5,7.00,,8.58,,2.22,13.36,15.58,108.12,83.68,24.44
28,Louisiana State,SEC,,22,16,4,80.1,70.0,10.15,,5.37,,14.05,1.47,15.52,117.28,94.14,23.14
29,Kentucky,SEC,,13,16,4,75.5,65.0,10.45,,5.00,,7.57,7.88,15.45,110.88,88.09,22.79
30,Auburn,SEC,,17,18,2,79.3,68.6,10.70,,4.63,,9.43,5.90,15.33,109.81,87.66,22.15
31,Marquette,Big East,,,15,6,78.4,70.2,8.24,,7.09,,12.75,2.58,15.33,113.09,91.03,22.06
32,Minnesota,Big Ten,,,11,10,70.2,66.1,4.10,,11.18,,5.89,9.38,15.27,110.42,88.25,22.17
33,Indiana,Big Ten,,,15,6,73.5,66.5,7.00,,7.93,,6.86,8.07,14.93,110.64,88.74,21.90
34,Houston,AAC,,21,17,4,74.1,63.5,10.57,,4.27,,6.63,8.21,14.85,112.09,89.87,22.22
35,Wichita State,AAC,,23,17,3,74.6,63.7,10.85,,3.75,,5.83,8.77,14.60,106.22,84.54,21.68
36,Creighton,Big East,,,16,5,77.6,69.0,8.57,,7.33,,10.23,4.25,14.48,114.84,93.73,21.11
37,Florida,SEC,,,12,8,73.2,67.2,6.00,,8.42,,6.44,7.98,14.42,112.21,90.75,21.46
38,Wisconsin,Big Ten,,,12,9,66.3,61.4,4.86,,9.42,,-0.37,14.65,14.28,108.66,86.96,21.70
39,Stanford,Pac-12,,,15,5,71.1,59.7,11.40,,2.59,,3.11,10.88,13.99,105.47,84.35,21.12
40,Mississippi State,SEC,,,13,7,73.0,65.2,7.85,,5.90,,4.92,8.83,13.75,112.51,91.04,21.47
41,Utah State,MWC,,,17,6,77.7,63.7,14.04,,3.70,,5.41,8.29,13.70,107.91,86.98,20.93
42,Saint Mary's (CA),WCC,,,19,4,77.1,65.0,12.17,,2.96,,6.89,6.49,13.37,114.94,93.51,21.43
43,Washington,Pac-12,,,12,10,70.1,63.9,6.18,,7.03,,4.07,9.14,13.21,105.86,85.94,19.92
