,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,Opponent Advanced Pace,Opponent Advanced ORtg,Opponent Advanced FTr,Opponent Advanced 3PAr,Opponent Advanced TS%,Opponent Advanced TRB%,Opponent Advanced AST%,Opponent Advanced STL%,Opponent Advanced BLK%,Opponent Advanced eFG%,Opponent Advanced TOV%,Opponent Advanced ORB%,Opponent Advanced FT/FGA
1,Abilene Christian,20,11,9,.550,-3.43,-3.18,6,3,8,2,3,7,1508,1292,71.4,88.7,.446,.342,.537,49.7,47.0,10.0,10.3,.482,25.8,27.5,.337
2,Air Force,22,9,13,.409,0.68,1.44,3,7,6,5,3,5,1653,1612,69.0,106.3,.292,.477,.570,49.5,55.1,9.1,8.5,.549,15.1,22.3,.200
3,Akron,21,16,5,.762,8.36,-0.70,6,2,10,2,5,2,1623,1384,71.1,92.6,.277,.321,.480,49.2,40.6,9.0,8.4,.447,16.9,29.1,.192
4,Alabama A&M,18,5,13,.278,-17.15,-6.43,2,5,4,1,1,11,1144,1337,70.2,105.1,.321,.370,.550,53.6,55.6,8.5,12.4,.533,16.1,28.2,.202
5,Alabama-Birmingham,22,13,9,.591,-1.45,-1.25,4,5,8,4,3,5,1436,1395,66.3,95.6,.255,.399,.500,44.7,45.4,10.6,9.0,.467,15.8,24.9,.186
6,Alabama State,20,3,17,.150,-17.31,-2.61,2,5,1,1,0,13,1207,1501,69.4,108.1,.366,.361,.576,54.9,54.9,9.9,11.4,.552,17.2,30.1,.250
7,Alabama,20,12,8,.600,12.48,7.28,4,3,8,1,2,5,1649,1545,77.7,98.2,.330,.345,.501,49.2,43.0,10.6,12.3,.457,15.5,29.1,.245
8,Albany (NY),22,12,10,.545,-6.98,-6.41,5,2,6,3,4,7,1505,1491,70.6,95.5,.281,.396,.505,49.2,52.0,11.1,10.6,.476,16.6,25.3,.194
9,Alcorn State,19,10,9,.526,-11.34,-6.07,6,2,7,1,3,8,1469,1363,72.9,97.8,.329,.372,.530,47.0,54.9,9.8,8.1,.504,17.9,26.0,.218
10,American,20,10,10,.500,-6.01,-5.71,6,3,6,3,4,7,1437,1443,69.5,103.2,.374,.299,.544,51.9,46.7,8.8,8.5,.508,16.7,29.4,.264
11,Appalachian State,22,12,10,.545,-0.54,-0.14,6,5,6,3,5,6,1512,1461,69.0,95.7,.270,.415,.510,49.7,55.6,9.2,7.4,.479,18.3,28.1,.193
12,Arizona State,20,12,8,.600,10.57,6.82,3,4,8,2,3,3,1447,1372,74.0,92.8,.338,.369,.510,51.4,51.0,8.3,9.0,.481,19.7,27.7,.222
13,Arizona,20,14,6,.700,21.86,7.46,4,3,10,1,1,4,1609,1321,71.5,91.9,.344,.384,.490,47.3,54.4,6.5,7.4,.447,17.8,26.8,.245
14,Little Rock,23,16,7,.696,2.67,-1.29,10,2,9,2,7,5,1635,1530,70.3,94.6,.329,.406,.508,46.8,48.7,10.1,9.0,.475,18.3,27.2,.224
15,Arkansas-Pine Bluff,19,3,16,.158,-20.83,-1.45,2,5,1,2,2,14,1011,1352,68.1,104.6,.443,.394,.549,53.0,60.2,14.2,6.6,.511,18.3,31.7,.306
16,Arkansas State,23,15,8,.652,-1.92,-1.16,7,5,10,4,5,4,1621,1610,67.6,102.4,.411,.350,.553,50.4,55.0,9.0,4.9,.515,18.4,28.1,.291
