,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF,Opponent Totals FG,Opponent Totals FGA,Opponent Totals FG%,Opponent Totals 3P,Opponent Totals 3PA,Opponent Totals 3P%,Opponent Totals FT,Opponent Totals FTA,Opponent Totals FT%,Opponent Totals ORB,Opponent Totals TRB,Opponent Totals AST,Opponent Totals STL,Opponent Totals BLK,Opponent Totals TOV,Opponent Totals PF,School Advanced Pace,School Advanced ORtg,School Advanced FTr,School Advanced 3PAr,School Advanced TS%,School Advanced TRB%,School Advanced AST%,School Advanced STL%,School Advanced BLK%,School Advanced eFG%,School Advanced TOV%,School Advanced ORB%,School Advanced FT/FGA,Opponent Advanced Pace,Opponent Advanced ORtg,Opponent Advanced FTr,Opponent Advanced 3PAr,Opponent Advanced TS%,Opponent Advanced TRB%,Opponent Advanced AST%,Opponent Advanced STL%,Opponent Advanced BLK%,Opponent Advanced eFG%,Opponent Advanced TOV%,Opponent Advanced ORB%,Opponent Advanced FT/FGA
0,Air Force,31,10,21,0.32299999999999995,-4.9,3.13,1.0,15.0,8,10,0,10,1773,1957,1240,632,1428,0.44299999999999995,176,562,0.313,333,524,0.635,220,851,389,155,51,394,547,665,1474,0.451,225,648,0.34700000000000003,402,590,0.6809999999999999,276,966,398,180,87,365,518,59.6,96.0,0.36700000000000005,0.39399999999999996,0.529,46.8,61.6,8.4,6.2,0.504,19.0,24.2,0.233,59.6,106.0,0.4,0.44,0.5579999999999999,53.2,59.8,9.7,10.0,0.527,17.2,30.4,0.273
1,Akron,35,24,11,0.6859999999999999,2.82,-1.5,12.0,4.0,13,5,7,4,2472,2293,1430,877,2024,0.433,235,694,0.33899999999999997,483,735,0.657,467,1269,473,213,114,464,682,787,1887,0.41700000000000004,177,553,0.32,542,764,0.7090000000000001,401,1188,377,239,88,496,670,65.9,104.8,0.363,0.34299999999999997,0.521,51.6,53.9,9.0,8.5,0.491,16.4,37.2,0.239,65.9,97.2,0.405,0.293,0.51,48.4,47.9,10.1,6.6,0.46399999999999997,18.1,33.3,0.287
2,Alabama A&M,27,11,16,0.40700000000000003,-20.19,-13.71,8.0,10.0,8,5,3,9,1778,1881,1085,599,1568,0.382,108,371,0.29100000000000004,472,743,0.635,376,1004,288,249,143,444,550,666,1570,0.424,140,448,0.313,409,653,0.626,408,1141,378,225,136,511,561,73.2,89.5,0.474,0.237,0.46299999999999997,46.8,48.1,12.5,12.7,0.41600000000000004,18.8,33.9,0.301,73.2,94.7,0.41600000000000004,0.285,0.5,53.2,56.8,11.3,11.4,0.469,21.4,39.4,0.261
3,Alabama-Birmingham,34,25,9,0.735,9.46,2.9,11.0,5.0,14,4,9,4,2276,2053,1370,763,1806,0.42200000000000004,177,569,0.311,573,826,0.6940000000000001,420,1248,390,223,91,451,611,713,1752,0.40700000000000003,156,498,0.313,471,658,0.716,325,1082,344,225,137,476,689,64.9,102.4,0.457,0.315,0.518,53.6,51.1,10.0,7.3,0.47100000000000003,17.0,35.7,0.317,64.9,92.4,0.376,0.284,0.49700000000000005,46.4,48.2,10.1,11.1,0.451,18.7,28.2,0.26899999999999996
4,Alabama State,31,16,15,0.516,-14.41,-12.02,12.0,6.0,9,3,6,11,1998,2043,1245,667,1651,0.40399999999999997,190,587,0.324,474,739,0.6409999999999999,400,1101,400,228,129,501,634,692,1591,0.435,150,430,0.349,509,762,0.6679999999999999,321,1046,340,247,109,486,646,67.8,94.7,0.44799999999999995,0.35600000000000004,0.499,51.3,60.0,10.8,11.1,0.462,20.0,35.6,0.287,67.8,96.8,0.479,0.27,0.523,48.7,49.1,11.7,10.2,0.48200000000000004,19.9,31.4,0.32
5,Alabama,32,17,15,0.531,10.34,6.62,6.0,10.0,11,6,3,6,2192,2073,1280,791,1794,0.441,175,500,0.35,435,615,0.7070000000000001,386,1126,429,249,127,410,583,736,1734,0.424,181,570,0.318,420,633,0.664,384,1102,358,186,131,446,533,65.7,104.2,0.34299999999999997,0.27899999999999997,0.525,50.5,54.2,11.8,10.9,0.49,16.4,35.0,0.242,65.7,98.6,0.365,0.32899999999999996,0.509,49.5,48.6,8.8,10.1,0.47700000000000004,18.0,34.2,0.242
6,Albany (NY),32,7,25,0.21899999999999997,-11.94,-5.53,2.0,14.0,4,9,3,15,2007,2212,1290,710,1736,0.409,194,585,0.332,393,545,0.721,399,1156,380,187,97,517,602,778,1788,0.435,222,609,0.365,434,628,0.691,355,1065,433,260,129,392,536,65.7,94.8,0.314,0.337,0.503,52.0,53.5,8.8,8.2,0.465,20.6,36.0,0.226,65.7,104.4,0.35100000000000003,0.341,0.53,48.0,55.7,12.3,11.2,0.49700000000000005,15.8,31.9,0.243
7,Alcorn State,31,2,29,0.065,-30.36,-9.0,2.0,16.0,2,8,0,18,1880,2542,1245,651,1717,0.379,135,437,0.309,443,725,0.611,356,1065,269,214,98,642,670,888,1912,0.46399999999999997,223,582,0.38299999999999995,543,855,0.635,467,1329,566,334,168,488,629,75.3,80.2,0.42200000000000004,0.255,0.456,44.5,41.3,9.1,7.4,0.418,23.7,29.2,0.258,75.3,108.5,0.447,0.304,0.5479999999999999,55.5,63.7,14.3,13.1,0.523,17.4,39.7,0.284
8,American,31,11,20,0.355,-11.47,-6.89,7.0,7.0,7,8,4,12,1941,2083,1265,681,1603,0.425,184,534,0.345,395,571,0.6920000000000001,304,1097,447,109,81,458,590,732,1709,0.428,169,477,0.354,450,664,0.6779999999999999,294,997,387,245,90,297,534,64.1,95.7,0.35600000000000004,0.33299999999999996,0.518,52.4,65.6,5.4,6.6,0.48200000000000004,19.6,30.2,0.24600000000000002,64.1,102.7,0.389,0.27899999999999997,0.514,47.6,52.9,12.1,8.4,0.478,12.8,27.0,0.263
9,Appalachian State,37,24,13,0.649,1.8,-2.76,13.0,5.0,14,4,8,8,2766,2567,1490,954,2006,0.47600000000000003,279,703,0.397,579,785,0.738,411,1424,447,201,102,544,652,908,2164,0.42,288,840,0.34299999999999997,463,704,0.6579999999999999,382,1134,507,265,96,400,707,67.5,110.0,0.391,0.35,0.581,55.7,46.9,8.0,7.7,0.545,18.6,35.3,0.289,67.5,102.1,0.325,0.38799999999999996,0.514,44.3,55.8,10.5,7.4,0.486,13.8,27.4,0.214
