School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
Abilene Christian,20,11,9,.550,-3.43,-3.18,6,3,8,2,3,7,1508,1292,815,523,1186,.441,132,439,.301,330,442,.747,227,675,301,188,51,291,419
Air Force,22,9,13,.409,0.68,1.44,3,7,6,5,3,5,1653,1612,880,553,1196,.462,194,502,.386,353,464,.761,159,717,317,110,37,270,368
Akron,21,16,5,.762,8.36,-0.70,6,2,10,2,5,2,1623,1384,840,552,1226,.450,211,537,.393,308,399,.772,207,787,299,105,63,282,360
Alabama A&M,18,5,13,.278,-17.15,-6.43,2,5,4,1,1,11,1144,1337,725,425,1102,.386,99,370,.268,195,283,.689,181,622,198,116,39,211,311
Alabama-Birmingham,22,13,9,.591,-1.45,-1.25,4,5,8,4,3,5,1436,1395,880,528,1197,.441,114,363,.314,266,380,.700,250,841,223,124,64,328,354
Alabama State,20,3,17,.150,-17.31,-2.61,2,5,1,1,0,13,1207,1501,800,426,1092,.390,126,410,.307,229,361,.634,164,602,197,120,34,294,394
Alabama,20,12,8,.600,12.48,7.28,4,3,8,1,2,5,1649,1545,810,553,1257,.440,207,589,.351,336,471,.713,221,819,279,125,95,310,389
Albany (NY),22,12,10,.545,-6.98,-6.41,5,2,6,3,4,7,1505,1491,885,508,1211,.419,171,510,.335,318,438,.726,177,769,287,123,60,312,379
Alcorn State,19,10,9,.526,-11.34,-6.07,6,2,7,1,3,8,1469,1363,765,515,1201,.429,192,488,.393,247,331,.746,231,743,274,168,60,274,334
American,20,10,10,.500,-6.01,-5.71,6,3,6,3,4,7,1437,1443,805,528,1166,.453,142,412,.345,239,338,.707,178,650,261,146,67,251,356
Appalachian State,22,12,10,.545,-0.54,-0.14,6,5,6,3,5,6,1512,1461,885,522,1222,.427,144,466,.309,324,491,.660,228,805,248,164,53,298,352
Arizona State,20,12,8,.600,10.57,6.82,3,4,8,2,3,3,1447,1372,800,528,1248,.423,135,441,.306,256,383,.668,205,735,223,159,71,261,369
Arizona,20,14,6,.700,21.86,7.46,4,3,10,1,1,4,1609,1321,805,568,1199,.474,154,407,.378,319,433,.737,206,757,330,133,77,238,364
Little Rock,23,16,7,.696,2.67,-1.29,10,2,9,2,7,5,1635,1530,920,571,1227,.465,133,397,.335,360,514,.700,233,840,331,165,81,380,427
Arkansas-Pine Bluff,19,3,16,.158,-20.83,-1.45,2,5,1,2,2,14,1011,1352,760,370,925,.400,73,255,.286,198,326,.607,157,580,182,147,60,351,376
Arkansas State,23,15,8,.652,-1.92,-1.16,7,5,10,4,5,4,1621,1610,930,535,1211,.442,136,381,.357,415,590,.703,221,754,334,159,69,297,466
Arkansas,20,15,5,.750,15.58,5.28,3,4,11,2,3,3,1485,1279,810,516,1164,.443,147,472,.311,306,420,.729,146,659,251,168,87,241,375
Army,20,10,10,.500,-9.52,-6.42,5,4,5,4,5,6,1413,1435,805,550,1145,.480,145,447,.324,168,283,.594,128,673,337,110,33,257,303
Auburn,20,18,2,.900,15.33,4.63,5,2,11,0,3,2,1585,1371,815,538,1215,.443,164,522,.314,345,517,.667,267,823,271,128,109,267,370
Austin Peay,22,15,7,.682,0.41,-3.79,9,0,10,0,4,6,1733,1587,880,607,1292,.470,161,449,.359,358,483,.741,254,767,307,152,70,281,407
Ball State,20,11,9,.550,4.80,-1.62,4,3,6,3,3,4,1413,1247,800,505,1166,.433,181,544,.333,222,341,.651,192,722,282,144,71,261,308
Baylor,19,18,1,.947,20.24,6.18,7,0,9,0,5,0,1375,1108,760,493,1148,.429,146,423,.345,243,340,.715,260,738,260,150,88,224,306
Belmont,22,15,7,.682,4.01,-6.52,6,3,8,1,7,5,1796,1526,880,676,1422,.475,230,633,.363,214,303,.706,206,872,418,143,74,274,341
Bethune-Cookman,21,10,11,.476,-10.07,-6.24,4,3,5,1,3,10,1591,1556,840,561,1287,.436,130,391,.332,339,478,.709,241,801,267,152,56,323,419
Binghamton,21,8,13,.381,-15.46,-4.30,2,6,6,4,2,9,1466,1604,845,533,1277,.417,203,607,.334,197,275,.716,217,752,249,97,69,283,331
Boise State,22,14,8,.636,8.39,3.10,6,4,10,1,2,6,1745,1557,905,593,1278,.464,191,530,.360,368,492,.748,181,759,291,129,34,272,371
Boston College,21,10,11,.476,1.53,5.39,4,6,7,6,2,5,1354,1435,840,484,1204,.402,142,475,.299,244,378,.646,193,695,259,181,59,287,329
Boston University,22,12,10,.545,-2.11,-4.40,6,3,7,2,5,6,1587,1511,890,603,1310,.460,148,460,.322,233,356,.654,220,788,278,125,42,254,340
Bowling Green State,21,16,5,.762,1.35,-0.80,7,1,10,1,3,1,1581,1497,850,567,1347,.421,167,503,.332,280,378,.741,238,852,268,120,52,220,373
Bradley,22,15,7,.682,6.87,0.10,6,3,12,1,2,5,1596,1421,880,568,1294,.439,156,408,.382,304,418,.727,265,884,315,110,90,270,354
Brigham Young,23,16,7,.696,16.53,6.76,5,3,10,1,2,5,1836,1586,935,687,1367,.503,243,574,.423,219,309,.709,146,761,393,128,41,261,381
Brown,15,7,8,.467,-4.04,0.67,0,2,6,2,1,6,1027,1067,600,362,884,.410,113,354,.319,190,276,.688,199,601,199,98,71,254,269
Bryant,21,10,11,.476,-4.18,-4.83,2,6,6,4,4,7,1503,1441,845,535,1277,.419,203,605,.336,230,345,.667,235,811,298,162,94,302,410
Bucknell,22,9,13,.409,-7.37,-2.91,5,4,6,2,2,9,1523,1621,880,535,1265,.423,178,519,.343,275,379,.726,194,715,261,158,80,304,426
Buffalo,21,14,7,.667,1.92,-0.03,5,3,7,4,4,2,1669,1593,840,618,1399,.442,179,539,.332,254,386,.658,305,879,337,175,93,299,385
Butler,21,17,4,.810,16.45,6.74,5,3,10,1,4,3,1456,1252,845,528,1133,.466,146,412,.354,254,350,.726,180,747,279,104,58,242,350
Cal Poly,20,5,15,.250,-10.53,1.69,2,4,5,3,0,10,1304,1477,805,457,1094,.418,130,372,.349,260,382,.681,156,634,196,126,50,284,395
Cal State Bakersfield,22,10,12,.455,-4.85,-1.27,4,3,7,5,3,7,1566,1514,905,580,1314,.441,119,352,.338,287,417,.688,299,848,268,148,69,303,476
Cal State Fullerton,22,8,14,.364,-6.69,-0.94,3,4,3,6,4,7,1474,1518,885,522,1219,.428,140,423,.331,290,429,.676,170,741,252,127,69,286,393
Cal State Northridge,23,9,14,.391,-8.01,-0.67,4,3,6,3,3,10,1726,1811,920,622,1381,.450,180,493,.365,302,423,.714,205,759,325,141,67,278,412
California Baptist,21,15,6,.714,-0.53,-6.70,5,2,11,4,4,2,1669,1451,845,567,1260,.450,196,539,.364,339,438,.774,233,858,312,88,73,282,375
UC-Davis,22,8,14,.364,-5.95,-1.55,2,4,4,3,3,9,1575,1557,890,560,1236,.453,173,465,.372,282,367,.768,166,682,285,132,41,286,406
UC-Irvine,22,13,9,.591,3.11,-0.64,5,1,7,1,4,7,1621,1443,880,602,1304,.462,125,394,.317,292,397,.736,256,898,320,145,84,312,420
UC-Riverside,23,14,9,.609,-3.39,-4.39,4,3,10,2,4,7,1539,1415,920,554,1252,.442,194,547,.355,237,345,.687,211,852,301,113,53,306,405
UC-Santa Barbara,21,13,8,.619,-2.06,-4.75,2,4,8,3,5,5,1501,1410,845,528,1127,.469,135,399,.338,310,412,.752,216,725,277,97,53,257,357
University of California,20,9,11,.450,2.09,7.19,3,4,9,3,0,5,1262,1364,810,449,1061,.423,102,297,.343,262,362,.724,167,661,189,83,49,263,373
Campbell,21,11,10,.524,-9.04,-7.83,2,7,5,4,5,5,1460,1406,845,535,1180,.453,165,490,.337,225,302,.745,160,633,314,173,55,277,376
Canisius,20,8,12,.400,-5.43,-4.33,3,6,5,2,2,9,1394,1416,800,505,1135,.445,120,391,.307,264,381,.693,200,664,285,159,52,319,402
Central Arkansas,21,6,15,.286,-11.34,0.36,5,5,6,3,0,11,1576,1790,865,518,1245,.416,163,504,.323,377,531,.710,220,797,302,113,120,383,444
Central Connecticut State,23,2,21,.087,-22.85,-3.71,1,9,2,7,0,12,1424,1811,920,509,1305,.390,145,419,.346,261,399,.654,196,715,234,153,72,337,428
Central Florida,20,11,9,.550,5.19,3.09,2,6,7,4,2,4,1373,1331,800,498,1175,.424,135,433,.312,242,343,.706,216,726,276,123,64,267,321
Central Michigan,19,11,8,.579,-1.31,0.13,4,2,10,1,1,7,1563,1443,760,547,1239,.441,154,461,.334,315,433,.727,220,715,233,185,46,242,286
Charleston Southern,21,11,10,.524,-12.51,-5.14,5,4,6,4,5,5,1469,1525,850,532,1225,.434,164,502,.327,241,337,.715,184,690,284,135,52,293,346
Charlotte,20,12,8,.600,2.00,-2.40,6,3,10,1,2,7,1346,1258,810,466,1014,.460,124,360,.344,290,405,.716,127,644,233,160,72,286,306
Chattanooga,22,14,8,.636,-0.72,-2.42,5,4,8,1,4,7,1598,1486,885,584,1289,.453,194,536,.362,236,348,.678,214,791,327,104,33,275,341
Chicago State,22,4,18,.182,-29.33,-2.48,0,7,3,7,1,9,1405,1847,880,474,1156,.410,129,394,.327,328,453,.724,174,674,237,117,62,390,453
Cincinnati,20,13,7,.650,12.97,5.17,6,2,9,1,2,4,1453,1297,815,516,1150,.449,130,409,.318,291,425,.685,219,765,302,135,86,294,360
Citadel,20,6,14,.300,-12.06,-1.35,0,9,3,7,3,7,1569,1594,815,551,1267,.435,194,590,.329,273,389,.702,193,741,310,145,51,316,360
Clemson,20,11,9,.550,10.05,6.95,5,5,9,4,1,4,1368,1306,815,488,1134,.430,168,523,.321,224,337,.665,171,683,269,143,50,250,301
Cleveland State,23,9,14,.391,-11.22,-1.91,5,5,6,5,1,9,1466,1646,920,513,1242,.413,84,286,.294,356,520,.685,262,810,257,184,62,373,466
Coastal Carolina,22,11,11,.500,-0.33,-0.33,4,7,7,7,4,3,1715,1644,880,604,1360,.444,170,491,.346,337,486,.693,306,906,292,182,73,362,466
Colgate,22,16,6,.727,0.32,-3.63,7,2,9,1,6,5,1654,1532,885,601,1337,.450,226,636,.355,226,293,.771,201,786,316,119,57,250,339
College of Charleston,22,13,9,.591,2.42,-0.20,7,3,7,4,5,3,1573,1492,880,546,1240,.440,164,481,.341,317,413,.768,188,755,238,138,58,245,384
Colorado State,23,15,8,.652,7.45,4.32,6,4,9,3,3,4,1738,1644,940,611,1299,.470,183,511,.358,331,490,.676,193,806,358,157,42,300,344
Colorado,21,16,5,.762,17.12,7.41,5,3,10,2,2,3,1510,1306,845,509,1166,.437,157,431,.364,335,454,.738,223,795,291,135,67,293,300
Columbia,18,6,12,.333,-9.09,-4.97,1,1,5,1,0,10,1203,1243,725,439,1070,.410,142,434,.327,183,257,.712,144,648,226,98,67,223,265
Connecticut,20,11,9,.550,9.50,3.45,2,5,9,3,0,4,1423,1302,825,496,1196,.415,134,421,.318,297,409,.726,246,767,260,131,136,279,374
Coppin State,22,6,16,.273,-13.03,-4.76,2,5,3,4,3,12,1487,1669,885,527,1360,.388,176,650,.271,257,413,.622,221,847,213,148,56,312,416
Cornell,15,4,11,.267,-9.33,-2.94,1,1,4,2,0,9,1002,1016,605,369,870,.424,102,363,.281,162,232,.698,154,531,224,101,47,175,228
Creighton,21,16,5,.762,14.48,7.33,5,3,12,1,3,3,1629,1449,845,574,1241,.463,193,521,.370,288,394,.731,174,746,311,135,47,233,329
Dartmouth,17,7,10,.412,-4.47,-3.66,0,2,3,3,3,6,1137,1101,690,417,952,.438,127,395,.322,176,268,.657,125,615,216,81,40,213,298
